Comment,Designator,Footprint,LCSC,Quantity
1k,R7,R_0402_1005Metric,C11702,1
100nF,"C10,C11,C12,C13,C14,C16,C19,C2,C27,C4,C5,C8",C_0402_1005Metric,C1525,12
10uF,"C1,C17,C18,C20,C21,C22,C3,C9",C_0402_1005Metric,C15525,8
27pF,"C23,C24,C6,C7",C_0402_1005Metric,C1557,4
USBLC6-2P6,U10,SOT-666,C15999,1
47uF,"C28,C31,C32",C_0805_2012Metric,C16780,3
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20617575,1
4.7uF,C30,C_0402_1005Metric,C23733,1
33,"R11,R12",R_0402_1005Metric,C25105,2
100K,"R18,R19,R3,R4,R5",R_0402_1005Metric,C25741,5
10k,R6,R_0402_1005Metric,C25744,1
12K,"R1,R15,R16,R17",R_0402_1005Metric,C25752,4
22k,R8,R_0402_1005Metric,C25768,1
27K,R2,R_0402_1005Metric,C25771,1
47k,R22,R_0402_1005Metric,C25792,1
56k,"R23,R24",R_0402_1005Metric,C25796,2
PCF8523T,U7,SOIC-8_3.9x4.9mm_P1.27mm,C2651516,1
CM108B,U5,LQFP-48_7x7mm_P0.5mm,C371347,1
MMBT5551L,"Q1,Q2",SOT-23,C41095,2
TPS2553-1,U9,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,C411878,1
ADM3101E,U6,QFN-12-1EP_3x3mm_P0.51mm_EP1.45x1.45mm,C514336,1
1uF,"C15,C29",C_0402_1005Metric,C52923,2
CH334P,U11,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm_ThermalVias,C5373042,1
GS2005ELD,D1,D_SOD-923,C91106,1
0.02A,TH1,R_0603_1608Metric,C914089,1
CP2102N-A02-GQFN24,U4,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,C969151,1
"32,768 kHz",Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,C97604,1
