Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,BK-940,MPD_BK-940,112.02625,-120.52745,180.0,bottom
C1,10uF,C_0402_1005Metric,106.0,-84.25,-90.0,top
C10,100nF,C_0402_1005Metric,109.75,-74.5,180.0,top
C11,100nF,C_0402_1005Metric,109.75,-70.25,0.0,top
C12,100nF,C_0402_1005Metric,110.0,-108.0,-90.0,top
C13,100nF,C_0402_1005Metric,102.75,-73.75,90.0,top
C14,100nF,C_0402_1005Metric,102.75,-71.5,90.0,top
C15,1uF,C_0402_1005Metric,109.0,-84.25,90.0,top
C16,100nF,C_0402_1005Metric,108.0,-84.25,90.0,top
C17,10uF,C_0402_1005Metric,112.75,-98.0,-90.0,top
C18,10uF,C_0402_1005Metric,110.23,-98.0,-90.0,top
C19,100nF,C_0402_1005Metric,111.5,-98.0,-90.0,top
C2,100nF,C_0402_1005Metric,107.0,-84.25,-90.0,top
C20,10uF,C_0402_1005Metric,107.0,-98.0,-90.0,top
C21,10uF,C_0402_1005Metric,110.25,-100.0,90.0,top
C22,10uF,C_0402_1005Metric,119.5,-90.25,180.0,top
C23,27pF,C_0402_1005Metric,112.75,-100.0,90.0,top
C24,27pF,C_0402_1005Metric,121.0,-89.75,90.0,top
C27,100nF,C_0402_1005Metric,115.0,-112.25,0.0,top
C28,47uF,C_0805_2012Metric,115.25,-117.75,-90.0,top
C29,1uF,C_0402_1005Metric,107.5,-108.0,-90.0,top
C3,10uF,C_0402_1005Metric,109.75,-72.25,180.0,top
C30,4.7uF,C_0402_1005Metric,103.4,-121.0,0.0,top
C31,47uF,C_0805_2012Metric,112.5,-116.75,180.0,top
C32,47uF,C_0805_2012Metric,112.5,-114.75,180.0,top
C4,100nF,C_0402_1005Metric,110.5,-78.5,90.0,top
C5,100nF,C_0402_1005Metric,109.75,-73.25,180.0,top
C6,10pF,C_0402_1005Metric,112.75,-108.5,180.0,top
C7,10pF,C_0402_1005Metric,112.75,-103.0,0.0,top
C8,100nF,C_0402_1005Metric,109.75,-71.25,180.0,top
C9,10uF,C_0402_1005Metric,109.0,-108.0,-90.0,top
D1,GS2005ELD,D_SOD-923,109.75,-76.632,0.0,top
Q1,MMBT5551L,SOT-23,123.0,-103.25,180.0,top
Q2,MMBT5551L,SOT-23,127.0,-103.25,180.0,top
R1,12K,R_0402_1005Metric,109.5,-80.5,-90.0,top
R11,33,R_0402_1005Metric,113.25,-70.25,180.0,top
R12,33,R_0402_1005Metric,109.75,-75.616,180.0,top
R15,12K,R_0402_1005Metric,123.0,-100.5,0.0,top
R16,12K,R_0402_1005Metric,111.5,-100.0,90.0,top
R17,12K,R_0402_1005Metric,123.0,-105.75,180.0,top
R18,100K,R_0402_1005Metric,127.0,-105.75,180.0,top
R19,100K,R_0402_1005Metric,116.0,-103.25,-90.0,top
R2,27K,R_0402_1005Metric,110.5,-80.5,90.0,top
R22,47k,R_0402_1005Metric,117.25,-116.25,0.0,top
R23,56k,R_0402_1005Metric,120.5,-110.5,180.0,top
R24,56k,R_0402_1005Metric,120.5,-118.0,180.0,top
R3,100k,R_0402_1005Metric,117.5,-114.25,-90.0,top
R4,100k,R_0402_1005Metric,109.5,-78.5,90.0,top
R5,100k,R_0402_1005Metric,116.5,-111.75,-90.0,top
R6,10k,R_0402_1005Metric,106.5,-108.0,-90.0,top
R7,1k,R_0402_1005Metric,103.4,-119.7,0.0,top
R8,22k,R_0402_1005Metric,107.9,-111.8,0.0,top
TH1,0.02A,R_0603_1608Metric,112.75,-81.0,0.0,top
U10,USBLC6-2P6,SOT-666,119.5,-114.25,90.0,top
U11,CH334P,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm_ThermalVias,107.675,-104.5,90.0,top
U4,CP2102N-A02-GQFN24,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,106.0,-79.0,90.0,top
U5,CM108B,LQFP-48_7x7mm_P0.5mm,109.25,-91.0,180.0,top
U6,ADM3101E,QFN-12-1EP_3x3mm_P0.51mm_EP1.45x1.45mm,106.0,-72.5,0.0,top
U7,PCF8523T,SOIC-8_3.9x4.9mm_P1.27mm,106.0,-116.0,90.0,top
U9,TPS2553-1,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,115.5,-114.25,0.0,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,112.75,-105.75,270.0,top
Y2,"32,768 kHz",Crystal_SMD_3215-2Pin_3.2x1.5mm,107.2,-120.4,0.0,top
